1	 사업장 	 항목 	 공장그룹 	 일련번호 	 형식 	 관제점(채운용) 	 단위 	 표시 	 TAG 명 			 Primary Key 	 PID No 	 Line Size 	 Fluid Code 	Serial Number	 Matarial Spec 	 Insulation 	 관제점 설명 		 관제점 명칭 	 주기 	 Log 	 Event 	1
2	 폐수처리장 	 압공 	 F02 	 0001 					 FT 	2101	설비	F020001-FT2101	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 폐수처리장 	 압공 		 aaa 			2
3	 폐수처리장 	 압공 	 F02 	 0001 					 FI 	2101	관제점	F020001-FI2101	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 폐수처리장 	 압공 		 aaa 			3
4	 폐수처리장 	 스팀 	 F02 	 0001 					 FT 	2201	설비	F020001-FT2201	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 폐수처리장 	 스팀 		 aaa 			4
5	 폐수처리장 	 스팀 	 F02 	 0001 					 FI 	2201	관제점	F020001-FI2201	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 폐수처리장 	 스팀 		 aaa 			5
6	 지에스켐텔 	 압공 	 F02 	 0002 					 FT 	2102	설비	F020002-FT2102	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 지에스켐텔 	압공		 aaa 			6
7	 지에스켐텔 	 압공 	 F02 	 0002 					 FI 	2102	관제점	F020002-FI2102	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 지에스켐텔 	압공		 aaa 			7
8	 지에스켐텔 	 스팀 	 F02 	 0002 					 FT 	2202	설비	F020002-FT2202	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 지에스켐텔 	 스팀		 aaa 			8
9	 지에스켐텔 	 스팀 	 F02 	 0002 					 FI 	2202	관제점	F020002-FI2202	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 지에스켐텔 	 스팀		 aaa 			9
10	 오성케미칼 	 압공 	 F02 	 0003 					 FT 	2103	설비	F020003-FT2103	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 오성케미칼 	 압공		 aaa 			10
11	 오성케미칼 	 압공 	 F02 	 0003 					 FI 	2103	관제점	F020003-FI2103	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 오성케미칼 	 압공		 aaa 			11
12	 오성케미칼 	 스팀 	 F02 	 0003 					 FT 	2203	설비	F020003-FT2203	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 오성케미칼 	 스팀		 aaa 			12
13	 오성케미칼 	 스팀 	 F02 	 0003 					 FI 	2203	관제점	F020003-FI2203	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 오성케미칼 	 스팀		 aaa 			13
14	 승화산업 	 압공 	 F02 	 0004 					 FT 	2104	설비	F020004-FT2104	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 승화산업 	 압공		 aaa 			14
15	 승화산업 	 압공 	 F02 	 0004 					 FI 	2104	관제점	F020004-FI2104	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 승화산업 	 압공		 aaa 			15
16	 승화산업 	 스팀 	 F02 	 0004 					 FT 	2204	설비	F020004-FT2204	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 승화산업 	 스팀		 aaa 			16
17	 승화산업 	 스팀 	 F02 	 0004 					 FI 	2204	관제점	F020004-FI2204	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 승화산업 	 스팀		 aaa 			17
18	 광명금속 	 압공 	 F02 	 0005 					 FT 	2105	설비	F020005-FT2105	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 광명금속 	 압공		 aaa 			18
19	 광명금속 	 압공 	 F02 	 0005 					 FI 	2105	관제점	F020005-FI2105	 PID-VUP-104 	 150A 	 AIR 	2002	 A2 		 광명금속 	 압공		 aaa 			19
20	 광명금속 	 스팀 	 F02 	 0005 					 FT 	2205	설비	F020005-FT2205	 PID-VUP-106 	 150A 	 S 	2002	 A2 	 H 	 광명금속 	 스팀		 aaa 			20
