1	 사업장 	 항목 	 공장그룹 	 일련번호 	 형식 	 관제점(채운용) 	 단위 	 표시 	 TAG 명 			 Primary Key 	 PID No 	 Line Size 	 Fluid Code 	Serial Number	 Matarial Spec 	 Insulation 	 관제점 설명 		 관제점 명칭 	 주기 	 Log 	 Event 	1
2	 남동금속 	 압공 	 F03 	 0001 					 XV 	3116	관제점	F030001-XV3116	 PID-VUP-308 	 40A 	 AIR 	3149	 A2 	 N 	남동금속	압공		 aaa 			2
3	 남동금속 	 압공 	 F03 	 0001 					 HS 	3116	설비	F030001-HS3116	 PID-VUP-308 	 40A 	 AIR 	3149	 A2 	 N 	남동금속	압공		 aaa 			3
4	 남동금속 	 압공 	 F03 	 0001 					 FI 	3116	관제점	F030001-FI3116	 PID-VUP-308 	 40A 	 AIR 	3149	 A2 	 N 	남동금속	압공		 aaa 			4
5	 남동금속 	 압공 	 F03 	 0001 					 FI 	3116	관제점	F030001-FI3116	 PID-VUP-308 	 40A 	 AIR 	3149	 A2 	 N 	남동금속	압공		 aaa 			5
6	 남동금속 	 압공 	 F03 	 0001 					 FT 	3116	설비	F030001-FT3116	 PID-VUP-308 	 40A 	 AIR 	3149	 A2 	 N 	남동금속	압공		 aaa 			6
7	 남동금속 	 압공 	 F03 	 0001 					 PI 	3116	관제점	F030001-PI3116	 PID-VUP-308 	 40A 	 AIR 	3149	 A2 	 N 	남동금속	압공		 aaa 			7
8	 남동금속 	 압공 	 F03 	 0001 					 PI 	3116	관제점	F030001-PI3116	 PID-VUP-308 	 40A 	 AIR 	3149	 A2 	 N 	남동금속	압공		 aaa 			8
9	 남동금속 	 압공 	 F03 	 0001 					 PT 	3116	설비	F030001-PT3116	 PID-VUP-308 	 40A 	 AIR 	3149	 A2 	 N 	남동금속	압공		 aaa 			9
10	 남동금속 	 스팀 	 F03 	 0001 					 XV 	3215A	관제점	F030001-XV3215A	 PID-VUP-306 	 40A 	 S 	3227	 A1 	 H 	남동금속	스팀		 aaa 			10
11	 남동금속 	 스팀 	 F03 	 0001 					 HS 	3215A	설비	F030001-HS3215A	 PID-VUP-306 	 40A 	 S 	3227	 A1 	 H 	남동금속	스팀		 aaa 			11
12	 남동금속 	 스팀 	 F03 	 0001 					 FI 	3215A	관제점	F030001-FI3215A	 PID-VUP-306 	 40A 	 S 	3227	 A1 	 H 	남동금속	스팀		 aaa 			12
13	 남동금속 	 스팀 	 F03 	 0001 					 FI 	3215A	관제점	F030001-FI3215A	 PID-VUP-306 	 40A 	 S 	3227	 A1 	 H 	남동금속	스팀		 aaa 			13
14	 남동금속 	 스팀 	 F03 	 0001 					 FT 	3215A	설비	F030001-FT3215A	 PID-VUP-306 	 40A 	 S 	3227	 A1 	 H 	남동금속	스팀		 aaa 			14
15	 남동금속 	 스팀 	 F03 	 0001 					 PI 	3215A	관제점	F030001-PI3215A	 PID-VUP-306 	 40A 	 S 	3227	 A1 	 H 	남동금속	스팀		 aaa 			15
16	 남동금속 	 스팀 	 F03 	 0001 					 PI 	3215A	관제점	F030001-PI3215A	 PID-VUP-306 	 40A 	 S 	3227	 A1 	 H 	남동금속	스팀		 aaa 			16
17	 남동금속 	 스팀 	 F03 	 0001 					 PT 	3215A	설비	F030001-PT3215A	 PID-VUP-306 	 40A 	 S 	3227	 A1 	 H 	남동금속	스팀		 aaa 			17
18	 와이제이 	 압공 	 F03 	 0002 					 XV 	3114	관제점	F030002-XV3114	 PID-VUP-308 	 25A 	 AIR 	3147	 A2 	 N 	와이제이	압공		 aaa 			18
19	 와이제이 	 압공 	 F03 	 0002 					 HS 	3114	설비	F030002-HS3114	 PID-VUP-308 	 25A 	 AIR 	3147	 A2 	 N 	와이제이	압공		 aaa 			19
20	 와이제이 	 압공 	 F03 	 0002 					 FI 	3114	관제점	F030002-FI3114	 PID-VUP-308 	 25A 	 AIR 	3147	 A2 	 N 	와이제이	압공		 aaa 			20
